threshold,clip_precision,clip_recall,clip_f1,clip_average_precision,segment_precision_iou_0_3,segment_recall_iou_0_3,segment_f1_iou_0_3,segment_precision_iou_0_5,segment_recall_iou_0_5,segment_f1_iou_0_5,mean_best_iou
0.05,0.5093738512437201,0.6872210282691354,0.5850809289232934,0.5640737180001725,0.16676557863501484,0.5542406311637081,0.2563868613138686,0.11572700296735905,0.38461538461538464,0.17791970802919707,0.42820678634278003
0.1,0.5144002003506136,0.6791205157877335,0.585393658710367,0.5640737180001725,0.16726403823178015,0.5522682445759369,0.2567629527739569,0.11768219832735961,0.388560157790927,0.1806510774873911,0.4233721655771046
0.15,0.5166561114629512,0.6743263349313936,0.5850545037292024,0.5640737180001725,0.16877637130801687,0.5522682445759369,0.2585410895660203,0.11874623267028331,0.388560157790927,0.18190212373037862,0.4228134693713496
0.2,0.5175673949150377,0.6696974706563068,0.5838858460651485,0.5640737180001725,0.16887816646562123,0.5522682445759369,0.2586605080831409,0.11700844390832328,0.3826429980276134,0.1792147806004619,0.42077082061453763
0.25,0.5188472919078863,0.6667217721937511,0.5835624366951238,0.5640737180001725,0.1675741076830006,0.5463510848126233,0.2564814814814815,0.11554748941318814,0.3767258382642998,0.17685185185185184,0.418189628878584
0.3,0.5197981366459627,0.6640767068937015,0.5831458227480584,0.5640737180001725,0.16777710478497881,0.5463510848126233,0.2567191844300278,0.11447607510599636,0.3727810650887574,0.17516218721038,0.4162443025278141
0.35,0.520665453600208,0.6622582244999173,0.5829877028305319,0.5640737180001725,0.16686819830713423,0.5443786982248521,0.2554372975474318,0.11426844014510278,0.3727810650887574,0.17491901897269782,0.41485791275011996
0.4,0.5215742677824268,0.6594478426186147,0.582463313134263,0.5640737180001725,0.16605839416058393,0.5384615384615384,0.25383542538354253,0.11435523114355231,0.3708086785009862,0.17480241748024175,0.4132424771021766
0.45,0.5216876971608833,0.6561415109935527,0.5812403895438236,0.5640737180001725,0.16473459426479561,0.5325443786982249,0.2516309412861137,0.11409395973154363,0.368836291913215,0.17427772600186395,0.4104286438375319
0.5,0.5227963525835866,0.6539923954372624,0.581081081081081,0.5640737180001725,0.16717697489283528,0.5384615384615384,0.25514018691588786,0.1157379056950398,0.3727810650887574,0.1766355140186916,0.4123177677539779
0.55,0.5233918128654971,0.6510166969747065,0.5802696529875488,0.5640737180001725,0.16574585635359115,0.5325443786982249,0.25280898876404495,0.1141804788213628,0.3668639053254438,0.1741573033707865,0.4112830213376945
0.6,0.5242355454666845,0.6490328979996693,0.5799970453538189,0.5640737180001725,0.1645101663585952,0.5266272189349113,0.2507042253521127,0.11398644485520641,0.36489151873767256,0.17370892018779344,0.40918891254793355
0.65,0.5257718120805369,0.6475450487683915,0.5803392843914364,0.5640737180001725,0.1645021645021645,0.52465483234714,0.25047080979284375,0.11440940012368583,0.36489151873767256,0.1741996233521657,0.40762042637141166
0.7,0.5261808367071525,0.6445693503058356,0.5793892562597518,0.5640737180001725,0.1656288916562889,0.52465483234714,0.25177472787505917,0.11457036114570361,0.3629191321499014,0.17415996213913867,0.405257088396309
0.75,0.5269444821501289,0.641758968424533,0.5787119856887298,0.5640737180001725,0.16666666666666666,0.52465483234714,0.25297194484070373,0.11528822055137844,0.3629191321499014,0.17498811222063718,0.40401372175672384
0.8,0.5277549904293136,0.6381220036369648,0.5777145850482676,0.5640737180001725,0.16541353383458646,0.5207100591715976,0.25106990014265335,0.11466165413533834,0.3609467455621302,0.17403708987161198,0.4018113876287024
0.85,0.529087400055142,0.6344850388493966,0.5770127039013756,0.5640737180001725,0.16509136735979837,0.5167652859960552,0.25023877745940787,0.11594202898550725,0.3629191321499014,0.17574021012416427,0.4002817827236951
0.9,0.5296657381615599,0.6286989585055381,0.5749489757351275,0.5640737180001725,0.16613621896880967,0.514792899408284,0.2512030798845043,0.1158497772119669,0.358974358974359,0.1751684311838306,0.397301260489536
0.95,0.5316043083900227,0.620102496280377,0.5724532621136972,0.5640737180001725,0.16304347826086957,0.5029585798816568,0.2462578464509899,0.11445012787723785,0.3530571992110454,0.17286335103814585,0.3948302894034051
